step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,codex-selden-anute,0.5051040055577621,0.5869095582488217,1.2,,Writing that does not pass through words,"The pictograms of the Aztec empire conveyed information without words. One of them conveys a betrothal. It is the positioning of the characters that conveys their relationship to one another, their garb that describes their postition, and iconic symbols may describe things such as speech between two people.",,,,,,,,
2,haptic-khipu,0.5,0.5,1,,The quipu,"The quipu was a form of writing that did not use words whatsoever- instead it uses knots to hold meaning. How is this writing and not just a counting device like a sort of abacus? Well the quipu was used to record information as well as give instructions: 'move x amount of grain to y city' etc. Clearly a form of writing without words, and thus without speech. But is speech still involved somehow?",,,,,,,,
3,haptic-khipu,0.46976758402479823,0.43912903226504835,2,,How does writing manifest itself without speech?,"Writing, therefore, is not something that always passes through speech, instead it may exist in many different mediums and may convey the information it holds through means other than words alone. Pictures may be the medium through which ideas are transmitted to the reader, or other things (like knots!) Speech is the thing that is usually thought of as being transmitted through writing, but writing does not have to be restricted to that. Ideas have so many different ways to be conveyed.",,,,,,,,
4,codex-selden-anute,0.4309055723475564,0.701501619892429,2.6873856,,What does this all say about writing and speech?,"Looking at the quipu and at the mixtec codex, no meaning is conveyed through speech directly, however these artifacts were certainly connected to speech within their time. Those who could read quipus (the _quipucamayocs_) had to eventually relay the information contained in the quipus, an action which would certainly require speech. And the mixtec codex originally held many stories, which were no doubt discussed by the people of the culture they were a part of, which also involves speech.",,,,,,,,
