step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,simon-rodriguez-imprenta,0.5,0.5,1,,How writing and speech create the political narrative,"Separated by two hundred years, both Guaman Poma and Simon Rodriguez used the printed word to present their ideas of change, one to the King of Spain and the other to the citizens of the new republic.  Both used innovative text and visual design to create new forms of government reform.  
",," Revolución ",writing-and-speech-change-that-starts.md,Contrast in style,writing-and-speech-contrasts.md,,,
